id,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,cost_of_the_product,prior_purchases,priority,gender,discount_offered,weight_in_gms,exceeded_deadline,faixa_peso,faixa_desconto
2099,C,Ship,3,5,175.0,2,low,F,40.0,1460.0,True,1000-2000,31-40%
2100,F,Ship,3,2,176.0,3,low,F,29.0,1953.0,True,1000-2000,21-30%
2101,D,Ship,3,1,172.0,10,high,F,30.0,1294.0,True,1000-2000,21-30%
2102,F,Ship,5,1,195.0,6,low,F,29.0,1039.0,True,1000-2000,21-30%
2103,A,Ship,3,5,164.0,3,low,M,61.0,1473.0,True,1000-2000,60%+
2104,B,Ship,3,1,231.0,3,medium,F,33.0,2755.0,True,2001-3000,31-40%
2105,C,Ship,5,5,248.0,3,medium,F,9.0,3873.0,True,3001-4000,6-10%
2106,F,Ship,4,5,237.0,2,medium,F,60.0,3427.0,True,3001-4000,51-60%
2107,D,Ship,3,1,111.0,4,low,F,8.0,1620.0,True,1000-2000,6-10%
2108,F,Ship,5,5,106.0,5,low,F,46.0,1275.0,True,1000-2000,41-50%
2109,A,Ship,4,2,139.0,3,low,M,29.0,1365.0,True,1000-2000,21-30%
2110,B,Ship,4,3,149.0,2,low,F,58.0,1657.0,True,1000-2000,51-60%
2111,C,Ship,4,5,180.0,3,low,F,24.0,1513.0,True,1000-2000,21-30%
2112,F,Ship,3,2,212.0,2,medium,F,65.0,3776.0,True,3001-4000,60%+
2113,D,Ship,4,2,183.0,3,low,M,5.0,3716.0,True,3001-4000,0-5%
2114,F,Ship,6,4,164.0,5,low,M,20.0,1555.0,True,1000-2000,11-20%
2115,A,Ship,4,1,143.0,3,medium,F,28.0,1197.0,True,1000-2000,21-30%
2116,B,Ship,3,3,162.0,2,medium,M,5.0,1202.0,True,1000-2000,0-5%
2117,C,Ship,4,2,202.0,4,medium,M,56.0,3098.0,True,3001-4000,51-60%
2118,F,Ship,3,2,135.0,2,medium,F,2.0,1150.0,True,1000-2000,0-5%
2119,D,Ship,3,2,232.0,2,low,F,58.0,2054.0,True,2001-3000,51-60%
2120,F,Ship,3,3,218.0,3,low,M,19.0,3770.0,True,3001-4000,11-20%
2121,A,Ship,5,4,177.0,2,low,M,14.0,1735.0,True,1000-2000,11-20%
2122,B,Ship,4,4,168.0,2,medium,M,63.0,1474.0,True,1000-2000,60%+
2123,C,Ship,3,4,181.0,2,medium,F,45.0,3448.0,True,3001-4000,41-50%
2124,F,Ship,3,2,238.0,2,low,F,29.0,3728.0,True,3001-4000,21-30%
2125,D,Ship,3,2,250.0,5,low,F,36.0,2717.0,True,2001-3000,31-40%
2126,F,Ship,3,1,152.0,2,low,F,25.0,1848.0,True,1000-2000,21-30%
2127,A,Ship,4,5,242.0,4,low,F,35.0,3215.0,True,3001-4000,31-40%
2128,B,Ship,3,1,236.0,2,high,M,2.0,3949.0,True,3001-4000,0-5%
2129,C,Ship,4,1,238.0,4,low,F,22.0,3950.0,True,3001-4000,21-30%
2130,F,Ship,4,4,165.0,5,low,M,21.0,1727.0,True,1000-2000,21-30%
2131,D,Ship,4,2,271.0,3,medium,M,50.0,3448.0,True,3001-4000,41-50%
2132,F,Ship,3,3,109.0,2,medium,M,18.0,1661.0,True,1000-2000,11-20%
2133,A,Ship,4,1,235.0,3,high,F,22.0,3695.0,True,3001-4000,21-30%
2134,B,Ship,3,3,186.0,3,medium,M,49.0,2356.0,True,2001-3000,41-50%
2135,C,Ship,4,1,202.0,2,low,M,40.0,2327.0,True,2001-3000,31-40%
2136,F,Ship,3,3,188.0,4,medium,M,3.0,3075.0,True,3001-4000,0-5%
2137,D,Ship,5,3,224.0,2,medium,M,52.0,3824.0,True,3001-4000,51-60%
2138,F,Ship,5,3,239.0,4,low,M,3.0,3734.0,True,3001-4000,0-5%
2139,A,Ship,2,3,140.0,2,medium,M,20.0,1832.0,True,1000-2000,11-20%
2140,B,Ship,6,3,272.0,3,low,F,39.0,2518.0,True,2001-3000,31-40%
2141,C,Ship,3,3,160.0,3,medium,F,65.0,1228.0,True,1000-2000,60%+
2142,F,Ship,3,3,261.0,3,medium,M,14.0,3479.0,True,3001-4000,11-20%
2143,D,Ship,3,5,199.0,3,medium,F,62.0,3259.0,True,3001-4000,60%+
2144,F,Ship,3,1,154.0,2,medium,F,56.0,1300.0,True,1000-2000,51-60%
2145,A,Ship,3,5,237.0,3,low,M,55.0,2451.0,True,2001-3000,51-60%
2146,B,Ship,4,4,181.0,3,low,M,44.0,2070.0,True,2001-3000,41-50%
2147,C,Ship,3,3,133.0,6,low,F,10.0,1686.0,True,1000-2000,6-10%
2148,F,Ship,3,4,150.0,3,medium,M,47.0,1511.0,True,1000-2000,41-50%
2149,D,Ship,6,5,152.0,3,medium,F,62.0,1325.0,True,1000-2000,60%+
2150,F,Ship,6,1,142.0,5,low,F,30.0,1464.0,True,1000-2000,21-30%
2151,A,Ship,4,3,214.0,2,low,M,57.0,2078.0,True,2001-3000,51-60%
2152,B,Ship,5,1,155.0,2,medium,F,40.0,1024.0,True,1000-2000,31-40%
2153,C,Ship,4,2,191.0,2,low,M,11.0,3985.0,True,3001-4000,11-20%
2154,F,Ship,4,5,133.0,2,medium,M,39.0,1106.0,True,1000-2000,31-40%
2155,D,Ship,3,3,211.0,4,high,F,22.0,2942.0,True,2001-3000,21-30%
2156,F,Ship,4,3,212.0,4,low,M,28.0,2422.0,True,2001-3000,21-30%
2157,A,Ship,3,1,150.0,2,low,M,9.0,1158.0,True,1000-2000,6-10%
2158,B,Ship,3,5,208.0,3,low,F,41.0,3977.0,True,3001-4000,41-50%
2159,C,Ship,4,2,157.0,2,medium,M,15.0,1724.0,True,1000-2000,11-20%
2160,F,Ship,4,4,228.0,3,low,M,60.0,2715.0,True,2001-3000,51-60%
2161,D,Ship,3,4,254.0,2,medium,F,44.0,3786.0,True,3001-4000,41-50%
2162,F,Ship,4,2,270.0,2,low,M,65.0,3599.0,True,3001-4000,60%+
2163,A,Ship,6,2,195.0,3,medium,M,30.0,3462.0,True,3001-4000,21-30%
2164,B,Ship,4,5,193.0,4,low,M,33.0,2173.0,True,2001-3000,31-40%
2165,C,Ship,5,4,165.0,3,medium,F,48.0,1240.0,True,1000-2000,41-50%
2166,F,Road,3,1,177.0,2,low,M,38.0,1099.0,True,1000-2000,31-40%
2167,D,Road,3,4,244.0,3,low,F,46.0,2844.0,True,2001-3000,41-50%
2168,F,Road,3,2,151.0,2,low,M,26.0,1793.0,True,1000-2000,21-30%
2169,A,Road,3,1,164.0,2,low,M,2.0,1104.0,True,1000-2000,0-5%
2170,B,Road,5,1,165.0,3,low,F,37.0,1228.0,True,1000-2000,31-40%
2171,C,Road,3,4,256.0,2,medium,M,55.0,2247.0,True,2001-3000,51-60%
2172,F,Road,4,4,150.0,4,low,M,5.0,1263.0,True,1000-2000,0-5%
2173,D,Road,2,3,255.0,3,low,M,27.0,3484.0,True,3001-4000,21-30%
2174,F,Road,4,3,268.0,3,medium,F,23.0,2996.0,True,2001-3000,21-30%
2175,A,Road,3,5,166.0,3,low,F,1.0,1366.0,True,1000-2000,0-5%
2176,B,Road,3,5,230.0,3,low,F,49.0,3477.0,True,3001-4000,41-50%
2177,C,Road,4,3,163.0,3,low,F,45.0,1395.0,True,1000-2000,41-50%
2178,F,Road,4,4,139.0,3,high,F,64.0,1415.0,True,1000-2000,60%+
2179,D,Road,3,5,161.0,3,medium,F,10.0,1978.0,True,1000-2000,6-10%
2180,F,Road,6,2,181.0,4,high,F,6.0,3003.0,True,3001-4000,6-10%
2181,A,Road,4,1,242.0,3,high,M,47.0,3489.0,True,3001-4000,41-50%
2182,B,Road,3,3,151.0,3,low,F,24.0,1139.0,True,1000-2000,21-30%
2183,C,Road,3,4,167.0,3,medium,M,50.0,1068.0,True,1000-2000,41-50%
2184,F,Road,3,2,257.0,3,low,F,25.0,2334.0,True,2001-3000,21-30%
2185,D,Road,3,2,204.0,2,medium,F,35.0,2090.0,True,2001-3000,31-40%
2186,F,Road,5,3,219.0,3,low,M,1.0,2027.0,True,2001-3000,0-5%
2187,A,Road,3,4,202.0,3,medium,M,28.0,3707.0,True,3001-4000,21-30%
2188,B,Flight,4,5,155.0,2,medium,M,41.0,1367.0,True,1000-2000,41-50%
2189,C,Flight,3,3,183.0,3,high,F,6.0,3364.0,True,3001-4000,6-10%
2190,F,Flight,5,1,184.0,3,low,F,19.0,2625.0,True,2001-3000,11-20%
2191,D,Flight,4,5,230.0,2,low,F,38.0,2890.0,True,2001-3000,31-40%
2192,F,Flight,4,2,139.0,4,low,F,41.0,1511.0,True,1000-2000,41-50%
2193,A,Flight,4,4,252.0,3,medium,F,7.0,2477.0,True,2001-3000,6-10%
2194,B,Flight,3,2,272.0,3,medium,F,40.0,3766.0,True,3001-4000,31-40%
2195,C,Flight,3,2,134.0,3,low,F,20.0,1391.0,True,1000-2000,11-20%
2196,F,Flight,3,5,169.0,3,medium,M,13.0,1934.0,True,1000-2000,11-20%
2197,D,Flight,4,2,214.0,2,low,M,49.0,3416.0,True,3001-4000,41-50%
2198,F,Flight,3,3,163.0,3,medium,F,65.0,1614.0,True,1000-2000,60%+
2199,A,Flight,4,2,150.0,3,low,F,48.0,1193.0,True,1000-2000,41-50%
2200,B,Flight,5,5,216.0,2,high,M,33.0,3202.0,True,3001-4000,31-40%
2201,C,Flight,5,2,116.0,5,high,F,56.0,1130.0,True,1000-2000,51-60%
2202,F,Flight,3,4,144.0,2,low,F,33.0,1811.0,True,1000-2000,31-40%
2203,D,Flight,5,3,266.0,3,low,F,19.0,2508.0,True,2001-3000,11-20%
2204,F,Flight,3,3,154.0,4,medium,F,62.0,1616.0,True,1000-2000,60%+
2205,A,Flight,4,3,255.0,5,low,M,18.0,3644.0,True,3001-4000,11-20%
2206,B,Flight,6,2,229.0,3,medium,M,13.0,2322.0,True,2001-3000,11-20%
2207,C,Flight,2,1,111.0,3,medium,M,16.0,1882.0,True,1000-2000,11-20%
2208,F,Flight,3,3,160.0,2,medium,F,32.0,1718.0,True,1000-2000,31-40%
2209,D,Flight,3,1,184.0,2,low,F,31.0,3191.0,True,3001-4000,31-40%
2210,F,Ship,4,4,218.0,4,low,M,45.0,3234.0,True,3001-4000,41-50%
2211,A,Ship,5,1,137.0,2,low,M,52.0,1012.0,True,1000-2000,51-60%
2212,B,Ship,4,2,204.0,3,medium,M,14.0,3829.0,True,3001-4000,11-20%
2213,C,Ship,6,1,105.0,5,low,F,57.0,1784.0,True,1000-2000,51-60%
2214,F,Ship,3,1,256.0,2,medium,F,63.0,3046.0,True,3001-4000,60%+
2215,D,Ship,4,2,182.0,2,medium,F,54.0,3261.0,True,3001-4000,51-60%
2216,F,Ship,3,4,260.0,4,high,M,17.0,2666.0,True,2001-3000,11-20%
2217,A,Ship,4,2,166.0,3,low,M,62.0,1944.0,True,1000-2000,60%+
2218,B,Ship,5,2,160.0,4,medium,M,43.0,1479.0,True,1000-2000,41-50%
2219,C,Ship,4,2,243.0,3,medium,F,13.0,2850.0,True,2001-3000,11-20%
2220,F,Ship,6,5,240.0,4,medium,M,62.0,2400.0,True,2001-3000,60%+
2221,D,Ship,6,1,229.0,6,low,M,35.0,3239.0,True,3001-4000,31-40%
2222,F,Ship,3,1,164.0,2,low,M,2.0,1304.0,True,1000-2000,0-5%
2223,A,Ship,3,4,234.0,3,medium,F,37.0,2111.0,True,2001-3000,31-40%
2224,B,Ship,4,1,97.0,2,high,M,15.0,1836.0,True,1000-2000,11-20%
2225,C,Ship,4,3,258.0,3,low,F,12.0,2017.0,True,2001-3000,11-20%
2226,F,Ship,3,1,147.0,2,medium,M,52.0,1934.0,True,1000-2000,51-60%
2227,D,Ship,4,3,180.0,4,low,M,14.0,1686.0,True,1000-2000,11-20%
2228,F,Ship,5,1,212.0,3,low,F,11.0,2073.0,True,2001-3000,11-20%
2229,A,Ship,3,4,198.0,2,medium,M,19.0,2373.0,True,2001-3000,11-20%
2230,B,Ship,3,1,239.0,3,low,F,63.0,2154.0,True,2001-3000,60%+
2231,C,Ship,4,3,158.0,2,low,M,46.0,1374.0,True,1000-2000,41-50%
2232,F,Ship,4,3,218.0,3,high,F,57.0,3311.0,True,3001-4000,51-60%
2233,D,Ship,4,4,156.0,3,low,M,20.0,1523.0,True,1000-2000,11-20%
2234,F,Ship,3,4,235.0,3,low,M,52.0,3447.0,True,3001-4000,51-60%
2235,A,Ship,4,5,168.0,3,low,F,4.0,1363.0,True,1000-2000,0-5%
2236,B,Ship,3,1,178.0,3,high,F,36.0,1297.0,True,1000-2000,31-40%
2237,C,Ship,4,2,275.0,3,medium,M,26.0,2449.0,True,2001-3000,21-30%
2238,F,Ship,3,4,139.0,2,low,M,45.0,1192.0,True,1000-2000,41-50%
2239,D,Ship,2,5,236.0,3,medium,F,13.0,2171.0,True,2001-3000,11-20%
2240,F,Ship,3,4,155.0,2,low,F,37.0,1780.0,True,1000-2000,31-40%
2241,A,Ship,3,3,168.0,3,medium,M,11.0,1008.0,True,1000-2000,11-20%
2242,B,Ship,4,1,151.0,2,low,M,42.0,1367.0,True,1000-2000,41-50%
2243,C,Ship,3,4,113.0,4,low,F,56.0,1154.0,True,1000-2000,51-60%
2244,F,Ship,4,3,133.0,3,medium,F,50.0,1861.0,True,1000-2000,41-50%
2245,D,Ship,5,4,163.0,4,medium,M,57.0,1613.0,True,1000-2000,51-60%
2246,F,Ship,5,3,206.0,2,medium,F,59.0,3278.0,True,3001-4000,51-60%
2247,A,Ship,3,2,177.0,2,medium,F,23.0,1929.0,True,1000-2000,21-30%
2248,B,Ship,3,2,206.0,2,low,M,3.0,2261.0,True,2001-3000,0-5%
2249,C,Ship,5,1,189.0,3,medium,M,13.0,3492.0,True,3001-4000,11-20%
2250,F,Ship,3,4,270.0,2,low,M,39.0,3690.0,True,3001-4000,31-40%
2251,D,Ship,4,1,238.0,3,low,F,33.0,2013.0,True,2001-3000,31-40%
2252,F,Ship,5,1,143.0,2,low,M,46.0,1387.0,True,1000-2000,41-50%
2253,A,Ship,4,1,173.0,2,medium,M,53.0,1251.0,True,1000-2000,51-60%
2254,B,Ship,3,5,134.0,3,medium,M,38.0,1169.0,True,1000-2000,31-40%
2255,C,Ship,4,4,176.0,3,high,M,34.0,1283.0,True,1000-2000,31-40%
2256,F,Ship,4,3,160.0,2,medium,F,38.0,1961.0,True,1000-2000,31-40%
2257,D,Ship,3,4,230.0,3,high,F,22.0,3546.0,True,3001-4000,21-30%
2258,F,Ship,4,5,178.0,3,low,F,5.0,1012.0,True,1000-2000,0-5%
2259,A,Ship,3,2,256.0,4,low,F,18.0,2699.0,True,2001-3000,11-20%
2260,B,Ship,3,4,256.0,4,low,M,11.0,3030.0,True,3001-4000,11-20%
2261,C,Ship,3,2,208.0,4,medium,M,52.0,2900.0,True,2001-3000,51-60%
2262,F,Ship,4,3,119.0,3,low,F,40.0,1233.0,True,1000-2000,31-40%
2263,D,Ship,3,3,114.0,6,low,F,26.0,1825.0,True,1000-2000,21-30%
2264,F,Ship,3,5,225.0,3,low,F,1.0,2864.0,True,2001-3000,0-5%
2265,A,Ship,4,5,155.0,4,high,F,48.0,1972.0,True,1000-2000,41-50%
2266,B,Ship,4,4,223.0,3,medium,F,51.0,3895.0,True,3001-4000,51-60%
2267,C,Ship,5,3,194.0,3,medium,F,6.0,2736.0,True,2001-3000,6-10%
2268,F,Ship,5,4,281.0,4,medium,F,40.0,3381.0,True,3001-4000,31-40%
2269,D,Ship,4,1,132.0,4,medium,F,10.0,1343.0,True,1000-2000,6-10%
2270,F,Ship,4,1,229.0,3,medium,F,53.0,3423.0,True,3001-4000,51-60%
2271,A,Ship,4,2,251.0,3,low,F,10.0,3517.0,True,3001-4000,6-10%
2272,B,Ship,4,1,113.0,3,low,F,60.0,1200.0,True,1000-2000,51-60%
2273,C,Ship,5,5,234.0,6,low,F,52.0,2615.0,True,2001-3000,51-60%
2274,F,Ship,3,3,181.0,2,medium,M,58.0,3719.0,True,3001-4000,51-60%
2275,D,Ship,5,2,157.0,2,low,M,32.0,1497.0,True,1000-2000,31-40%
2276,F,Ship,3,1,155.0,3,low,M,49.0,1203.0,True,1000-2000,41-50%
2277,A,Ship,3,4,209.0,2,low,M,62.0,2935.0,True,2001-3000,60%+
2278,B,Ship,4,3,264.0,3,low,F,39.0,2213.0,True,2001-3000,31-40%
2279,C,Ship,3,1,268.0,3,low,F,47.0,2479.0,True,2001-3000,41-50%
2280,F,Ship,6,1,224.0,3,medium,M,64.0,2705.0,True,2001-3000,60%+
2281,D,Ship,4,4,223.0,10,low,M,24.0,3271.0,True,3001-4000,21-30%
2282,F,Ship,3,2,191.0,3,high,F,42.0,2374.0,True,2001-3000,41-50%
2283,A,Ship,4,1,184.0,3,high,F,47.0,3081.0,True,3001-4000,41-50%
2284,B,Ship,6,5,174.0,3,medium,F,32.0,1921.0,True,1000-2000,31-40%
2285,C,Ship,6,3,134.0,8,high,F,12.0,1371.0,True,1000-2000,11-20%
2286,F,Ship,4,1,135.0,2,high,F,25.0,1009.0,True,1000-2000,21-30%
2287,D,Ship,5,4,234.0,2,high,F,61.0,3084.0,True,3001-4000,60%+
2288,F,Ship,3,1,215.0,6,high,M,5.0,3432.0,True,3001-4000,0-5%
2289,A,Ship,5,4,187.0,2,medium,F,10.0,3549.0,True,3001-4000,6-10%
2290,B,Ship,3,1,238.0,2,medium,F,50.0,3438.0,True,3001-4000,41-50%
2291,C,Ship,4,2,273.0,4,low,F,26.0,3223.0,True,3001-4000,21-30%
2292,F,Ship,5,4,192.0,3,medium,M,46.0,3709.0,True,3001-4000,41-50%
2293,D,Ship,3,5,268.0,4,high,M,5.0,3446.0,True,3001-4000,0-5%
2294,F,Ship,3,5,225.0,3,low,F,12.0,2721.0,True,2001-3000,11-20%
2295,A,Ship,4,5,155.0,4,high,F,54.0,1408.0,True,1000-2000,51-60%
2296,B,Ship,4,2,223.0,3,medium,F,56.0,3158.0,True,3001-4000,51-60%
2297,C,Ship,5,1,194.0,3,medium,F,32.0,3003.0,True,3001-4000,31-40%
2298,F,Ship,5,4,281.0,4,medium,M,56.0,3709.0,True,3001-4000,51-60%
2299,D,Ship,4,5,132.0,4,medium,F,28.0,1715.0,True,1000-2000,21-30%
2300,F,Ship,4,1,229.0,3,medium,F,20.0,2891.0,True,2001-3000,11-20%
2301,A,Ship,4,1,251.0,3,low,F,33.0,2502.0,True,2001-3000,31-40%
2302,B,Ship,4,5,113.0,3,low,F,52.0,1741.0,True,1000-2000,51-60%
2303,C,Road,5,2,234.0,6,low,F,58.0,2448.0,True,2001-3000,51-60%
2304,F,Road,3,3,181.0,2,medium,F,52.0,3236.0,True,3001-4000,51-60%
2305,D,Road,5,2,157.0,2,low,M,58.0,1654.0,True,1000-2000,51-60%
2306,F,Road,3,3,155.0,3,low,M,20.0,1830.0,True,1000-2000,11-20%
2307,A,Road,3,5,209.0,2,low,M,33.0,2603.0,True,2001-3000,31-40%
2308,B,Road,4,1,264.0,3,low,M,13.0,3015.0,True,3001-4000,11-20%
2309,C,Road,3,2,268.0,3,low,M,30.0,2867.0,True,2001-3000,21-30%
2310,F,Road,6,2,224.0,3,medium,F,26.0,3247.0,True,3001-4000,21-30%
2311,D,Road,4,3,223.0,10,low,F,21.0,2943.0,True,2001-3000,21-30%
2312,F,Road,3,5,191.0,3,high,F,17.0,2235.0,True,2001-3000,11-20%
2313,A,Road,4,4,184.0,3,high,F,27.0,3967.0,True,3001-4000,21-30%
2314,B,Road,6,4,174.0,3,medium,F,14.0,1651.0,True,1000-2000,11-20%
2315,C,Road,6,2,134.0,8,high,M,42.0,1054.0,True,1000-2000,41-50%
2316,F,Road,4,5,135.0,2,high,F,22.0,1195.0,True,1000-2000,21-30%
2317,D,Road,5,5,234.0,2,high,M,50.0,3914.0,True,3001-4000,41-50%
2318,F,Road,3,1,215.0,6,high,M,42.0,3715.0,True,3001-4000,41-50%
2319,A,Road,5,2,187.0,2,medium,F,29.0,2863.0,True,2001-3000,21-30%
2320,B,Road,3,2,238.0,2,medium,F,32.0,3274.0,True,3001-4000,31-40%
2321,C,Road,4,1,273.0,4,low,F,54.0,2611.0,True,2001-3000,51-60%
2322,F,Road,5,5,192.0,3,medium,F,37.0,2197.0,True,2001-3000,31-40%
2323,D,Road,3,5,268.0,4,high,M,19.0,2893.0,True,2001-3000,11-20%
2324,F,Road,3,4,164.0,3,low,M,5.0,1408.0,True,1000-2000,0-5%
2325,A,Flight,2,2,255.0,3,low,M,59.0,1514.0,True,1000-2000,51-60%
2326,B,Flight,4,4,141.0,2,low,F,30.0,1130.0,True,1000-2000,21-30%
2327,C,Flight,2,5,202.0,3,low,M,50.0,2587.0,True,2001-3000,41-50%
2328,F,Flight,4,4,282.0,6,medium,F,52.0,3009.0,True,3001-4000,51-60%
2329,D,Flight,6,4,190.0,3,low,M,7.0,3175.0,True,3001-4000,6-10%
2330,F,Flight,4,2,192.0,4,low,F,61.0,2256.0,True,2001-3000,60%+
2331,A,Flight,3,4,179.0,2,low,M,51.0,1041.0,True,1000-2000,51-60%
2332,B,Flight,4,3,238.0,2,medium,M,43.0,2200.0,True,2001-3000,41-50%
2333,C,Flight,3,2,181.0,4,low,F,18.0,3696.0,True,3001-4000,11-20%
2334,F,Flight,5,2,128.0,5,medium,F,45.0,1707.0,True,1000-2000,41-50%
2335,D,Flight,5,1,285.0,5,low,M,51.0,2063.0,True,2001-3000,51-60%
2336,F,Flight,5,5,273.0,3,medium,F,18.0,2415.0,True,2001-3000,11-20%
2337,A,Flight,2,2,242.0,6,low,F,63.0,3144.0,True,3001-4000,60%+
2338,B,Flight,3,4,226.0,3,medium,F,22.0,3593.0,True,3001-4000,21-30%
2339,C,Flight,2,5,255.0,4,low,F,36.0,2093.0,True,2001-3000,31-40%
2340,F,Flight,5,1,198.0,2,medium,F,37.0,3025.0,True,3001-4000,31-40%
2341,D,Flight,5,4,263.0,3,medium,M,59.0,3978.0,True,3001-4000,51-60%
2342,F,Flight,3,5,186.0,2,low,F,39.0,2197.0,True,2001-3000,31-40%
2343,A,Flight,5,2,260.0,3,low,F,22.0,2935.0,True,2001-3000,21-30%
2344,B,Flight,4,2,167.0,2,low,F,5.0,1169.0,True,1000-2000,0-5%
2345,C,Flight,4,3,210.0,3,low,F,46.0,2344.0,True,2001-3000,41-50%
2346,F,Flight,4,5,216.0,3,low,F,20.0,3549.0,True,3001-4000,11-20%
2347,D,Ship,3,2,273.0,3,low,F,12.0,2154.0,True,2001-3000,11-20%
2348,F,Ship,5,1,153.0,2,low,F,55.0,1414.0,True,1000-2000,51-60%
2349,A,Ship,3,2,183.0,3,medium,F,44.0,3809.0,True,3001-4000,41-50%
2350,B,Ship,4,1,224.0,3,medium,F,36.0,3499.0,True,3001-4000,31-40%
2351,C,Ship,5,1,170.0,3,high,M,58.0,1651.0,True,1000-2000,51-60%
2352,F,Ship,5,1,237.0,4,low,M,33.0,2605.0,True,2001-3000,31-40%
2353,D,Ship,5,5,234.0,6,medium,F,60.0,2443.0,True,2001-3000,51-60%
2354,F,Ship,3,2,264.0,3,medium,F,43.0,3439.0,True,3001-4000,41-50%
2355,A,Ship,2,2,153.0,3,low,F,55.0,1273.0,True,1000-2000,51-60%
2356,B,Ship,4,3,228.0,4,low,M,61.0,3583.0,True,3001-4000,60%+
2357,C,Ship,3,5,264.0,2,medium,M,33.0,2021.0,True,2001-3000,31-40%
2358,F,Ship,4,3,267.0,3,low,F,42.0,2332.0,True,2001-3000,41-50%
2359,D,Ship,3,2,213.0,2,low,M,22.0,3248.0,True,3001-4000,21-30%
2360,F,Ship,4,1,181.0,3,medium,M,38.0,3258.0,True,3001-4000,31-40%
2361,A,Ship,6,4,209.0,5,low,F,53.0,3169.0,True,3001-4000,51-60%
2362,B,Ship,3,2,165.0,3,low,F,19.0,1111.0,True,1000-2000,11-20%
2363,C,Ship,3,4,164.0,3,high,F,55.0,1293.0,True,1000-2000,51-60%
2364,F,Ship,5,5,141.0,2,medium,M,14.0,1114.0,True,1000-2000,11-20%
2365,D,Ship,3,2,164.0,4,medium,M,2.0,1701.0,True,1000-2000,0-5%
2366,F,Ship,3,3,178.0,2,medium,M,4.0,1778.0,True,1000-2000,0-5%
2367,A,Ship,5,4,200.0,3,medium,M,24.0,2078.0,True,2001-3000,21-30%
2368,B,Ship,4,5,185.0,2,low,F,47.0,3974.0,True,3001-4000,41-50%
2369,C,Ship,2,1,180.0,2,medium,F,31.0,1078.0,True,1000-2000,31-40%
2370,F,Ship,4,5,144.0,3,low,M,9.0,1526.0,True,1000-2000,6-10%
2371,D,Ship,4,4,161.0,4,low,F,14.0,1194.0,True,1000-2000,11-20%
2372,F,Ship,4,5,152.0,3,medium,M,25.0,1222.0,True,1000-2000,21-30%
2373,A,Ship,2,3,129.0,3,low,M,50.0,1111.0,True,1000-2000,41-50%
2374,B,Ship,5,2,140.0,3,medium,F,16.0,1969.0,True,1000-2000,11-20%
2375,C,Ship,4,1,270.0,4,medium,F,64.0,3312.0,True,3001-4000,60%+
2376,F,Ship,3,2,183.0,3,medium,F,25.0,2023.0,True,2001-3000,21-30%
2377,D,Ship,4,1,264.0,3,low,F,39.0,3719.0,True,3001-4000,31-40%
2378,F,Ship,3,2,167.0,4,medium,M,49.0,1973.0,True,1000-2000,41-50%
2379,A,Ship,5,1,219.0,3,low,M,14.0,2447.0,True,2001-3000,11-20%
2380,B,Ship,4,2,225.0,3,low,M,52.0,3189.0,True,3001-4000,51-60%
2381,C,Ship,4,1,228.0,3,low,F,53.0,2021.0,True,2001-3000,51-60%
2382,F,Ship,3,5,119.0,3,medium,M,7.0,1021.0,True,1000-2000,6-10%
2383,D,Ship,3,5,244.0,3,low,F,8.0,3154.0,True,3001-4000,6-10%
2384,F,Ship,4,3,163.0,5,low,M,29.0,1349.0,True,1000-2000,21-30%
2385,A,Ship,4,5,260.0,3,medium,M,59.0,3951.0,True,3001-4000,51-60%
2386,B,Ship,4,3,135.0,2,medium,F,53.0,1073.0,True,1000-2000,51-60%
2387,C,Ship,5,2,167.0,3,medium,F,7.0,1939.0,True,1000-2000,6-10%
2388,F,Ship,4,4,233.0,3,medium,F,14.0,2522.0,True,2001-3000,11-20%
2389,D,Ship,4,5,147.0,2,medium,F,19.0,1940.0,True,1000-2000,11-20%
2390,F,Ship,2,4,159.0,2,low,F,17.0,1686.0,True,1000-2000,11-20%
2391,A,Ship,4,2,139.0,3,medium,M,5.0,1674.0,True,1000-2000,0-5%
2392,B,Ship,3,1,200.0,2,low,F,44.0,2651.0,True,2001-3000,41-50%
2393,C,Ship,4,1,221.0,3,low,F,3.0,2546.0,True,2001-3000,0-5%
2394,F,Ship,4,3,158.0,3,low,M,18.0,1036.0,True,1000-2000,11-20%
2395,D,Ship,4,5,227.0,3,low,M,65.0,3984.0,True,3001-4000,60%+
2396,F,Ship,3,3,179.0,3,medium,F,12.0,1125.0,True,1000-2000,11-20%
2397,A,Ship,3,2,232.0,3,low,F,64.0,3131.0,True,3001-4000,60%+
2398,B,Ship,3,3,139.0,2,low,M,9.0,1177.0,True,1000-2000,6-10%
2399,C,Ship,6,3,195.0,2,medium,M,21.0,3869.0,True,3001-4000,21-30%
2400,F,Ship,6,2,276.0,6,medium,M,7.0,2437.0,True,2001-3000,6-10%
2401,D,Ship,2,5,171.0,3,medium,F,13.0,1101.0,True,1000-2000,11-20%
2402,F,Ship,5,4,259.0,3,medium,F,43.0,2685.0,True,2001-3000,41-50%
2403,A,Ship,3,2,123.0,4,medium,F,7.0,1596.0,True,1000-2000,6-10%
2404,B,Ship,3,2,199.0,4,low,F,47.0,2208.0,True,2001-3000,41-50%
2405,C,Ship,4,3,226.0,2,low,F,32.0,2912.0,True,2001-3000,31-40%
